CNTSTUID,GRADE,AGE,ISCEDL,PARED,HISEI,IMMIG,REPEAT,MMINS,LMINS,SMINS,ESCS,UNDREM,METASUM,METASPAM,ICTHOME,ICTSCH,HOMEPOS,CULTPOSS,HEDRES,ICTRES,DISCLIMA,TEACHSUP,DIRINS,PERFEED,EMOSUPS,STIMREAD,ADAPTIVITY,TEACHINT,JOYREAD,SCREADCOMP,SCREADDIFF,PISADIFF,PERCOMP,PERCOOP,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,RESILIENCE,MASTGOAL,GCSELFEFF,GCAWARE,INTCULT,PERSPECT,COGFLEX,RESPECT,AWACOM,GLOBMIND,BELONG,BEINGBULLIED,ENTUSE,HOMESCH,USESCH,INTICT,COMPICT,AUTICT,SOIAICT,ICTCLASS,ICTOUTSIDE,WVARSTRR,GENDER,MATH,SCIENCE,READ,TOTALSCORE,"Is_MISCED_5A,6","Is_FISCED_5A,6"
70206246.0,0.0,15.33,ISCED level 3,11.0,41.22,Native,Did not repeat a  grade,315.0,280.0,245.0,-1.442,0.1,-1.72,-0.04,4.0,6.0,-2.1161,-1.2659,-1.8475,-0.94,-2.0663,-1.7803,-1.3302,0.2012,0.2127,-1.0773,-1.4494,-2.2177,-0.6464,-0.825,1.5959,2.21,2.0378,-2.1428,1.0844,0.1956,0.6291,1.8905,0.7028,-1.1295,-2.7142,-1.6769,1.6052,0.4852,1.0852,0.5351,-0.887,1.3217,-0.1903,1.1928,0.0087,-0.7513,-0.6017,-1.3487,-1.6124,-1.1563,-0.7345,0.2379,0.2858,27.0,1,430.0438,437.6762,456.8585,441.5261666666667,0,0
70201163.0,0.0,16.25,ISCED level 3,16.0,75.54,Native,Did not repeat a  grade,240.0,120.0,240.0,1.3202,0.45,-0.18,1.33,11.0,8.0,0.9421,1.0435,1.1793,0.4826,-0.4349,0.3485,-1.0988,-0.3253,1.0346,0.5102,0.4572,1.2403,0.2694,-0.825,1.3451,0.2705,0.6912,-0.9391,0.4667,0.7871,1.1448,1.1911,0.5075,0.9703,0.5584,0.6273,1.1479,0.6998,-0.6318,0.9289,1.4598,0.8479,0.4581,-0.7823,-0.0832,0.5459,0.2394,1.757,0.0537,0.0979,0.5149,0.2277,-1.3048,29.0,1,540.3806999999999,548.1853,508.4692,532.3450666666666,1,1
70204515.0,0.0,15.5,ISCED level 3,11.0,52.4,Native,Did not repeat a  grade,300.0,210.0,300.0,-0.2914,-1.64,0.59,-1.41,9.0,6.0,0.0004,-0.1239,0.031,0.094,-1.0963,1.314,-0.1348,1.3514,1.0346,0.5102,2.0073,-0.5551,0.5915,1.8839,0.409,-1.272,2.0378,1.6762,0.024,2.0054,-1.4138,-1.8939,2.3693,-0.5266,-0.039,0.776,0.6707,-0.2287,2.1449,0.9289,2.0513,-0.5012,2.7249,-0.7823,1.1469,-0.7935,-0.3355,1.3444,1.4987,2.0258,-0.3997,-1.2188,-0.7509,4.0,0,640.6989,627.6992,645.4660000000001,637.9547000000001,0,0
70200752.0,0.0,16.25,ISCED level 3,16.0,71.72,Native,Did not repeat a  grade,275.0,275.0,495.0,0.7752,-0.25,0.59,1.33,7.0,6.0,0.1976,-1.8518,1.1793,0.099,0.3287,0.039,0.2336,0.9397,1.0346,2.0871,0.1067,0.1744,0.2363,0.1222,0.409,0.2705,1.2186,-0.2119,1.0844,2.0054,0.5693,1.8905,0.6769,0.3468,1.7242,1.1782,-0.4912,-1.0235,-0.3812,-0.4401,1.4449,0.9987,-0.3184,0.2907,-0.2617,0.6222,0.6116,0.8739,1.2859,1.3545,-0.8349,1.24,1.0101,41.0,1,660.4498,649.5730000000001,694.9855,668.3361000000001,1,1
70205313.0,0.0,15.33,ISCED level 3,13.0,73.91,Native,Did not repeat a  grade,350.0,175.0,385.0,0.3517,0.45,1.36,1.33,8.0,7.0,-0.519,-1.2659,0.0477,-0.3918,0.3529,0.7628,-1.0493,-0.3253,-1.1847,-0.0999,-0.1687,0.2981,0.8628,-0.4089,0.9065,-0.8863,-0.6142,-0.3047,0.0281,1.1811,-0.6545,-0.6133,-0.8109,-0.5266,0.0043,-0.9052,-1.2463,-0.4495,-0.1629,-0.521,-0.534,-0.7825,-0.4415,-0.7823,0.1654,-0.6812,-0.1128,0.6253,-0.6823,0.1761,-0.6261,0.2245,0.3193,62.0,0,721.3229000000001,716.4212,709.7112999999999,715.8184666666666,0,0
70201149.0,0.0,16.17,ISCED level 3,16.0,75.13,Native,Did not repeat a  grade,330.0,180.0,360.0,0.8515,-0.25,-0.18,-0.96,7.0,4.0,0.1835,0.6169,0.0477,0.0595,2.0345,1.314,1.1049,2.0165,1.0346,0.5102,0.4599,0.1744,1.4712,0.1222,-0.0362,-1.272,2.0378,1.6762,1.0844,0.1956,-0.1015,0.4637,-0.4684,1.8524,1.0155,1.5926,1.6052,1.8792,0.9353,0.9289,2.0513,2.6335,-0.3184,-0.7823,-0.8275,-0.0446,-1.0595,0.2919,0.0537,0.0221,-0.331,-1.2188,-0.0801,54.0,1,609.8769,578.7474,578.6605000000001,589.0949333333334,0,1
70205636.0,0.0,16.0,ISCED level 3,16.0,65.12,Native,Did not repeat a  grade,420.0,420.0,240.0,0.915,-1.64,-1.72,-1.41,10.0,5.0,0.7631,1.7903,0.1806,-0.1255,-0.6541,-0.6262,-0.0424,-0.3253,-1.5847,-0.8885,-0.5786,-1.0615,-0.8176,-2.4403,-1.8876,0.2705,-0.4686,0.6012,-0.6583,0.1956,-0.1015,0.4637,-0.0614,-1.3162,0.1904,-1.4486,-0.3066,0.1686,-0.8312,-1.0567,-0.1577,-0.4799,-0.9533,1.1625,-0.9501,-0.0861,0.2917,-0.9327,-0.6828,0.0979,0.5149,-1.2188,-1.3048,69.0,0,510.6124,477.3015,487.74180000000007,491.88523333333336,1,1
70201379.0,0.0,15.83,ISCED level 3,16.0,75.54,Native,Did not repeat a  grade,300.0,180.0,360.0,0.8851,1.5,0.98,1.33,7.0,6.0,-0.086,0.0902,0.0477,-0.3918,2.0345,-0.2023,-0.2546,0.5121,0.2169,-0.3644,-0.1687,-0.6079,1.7513,0.1222,0.9065,-1.272,-1.9892,0.6012,0.4626,-0.9792,-0.6545,1.4083,-1.0974,-0.4347,0.0043,-0.6376,0.678,-0.6081,-0.7919,0.4561,-0.1577,0.291,-0.4509,-0.7823,-0.0576,0.1481,-0.6418,-0.1842,-0.3734,-0.5023,-0.0411,-1.2188,-0.4036,65.0,1,688.7292,699.6521999999999,717.4293999999998,701.9369333333333,1,1
70203967.0,0.0,15.42,ISCED level 3,11.0,55.4,First-Generation,Did not repeat a  grade,135.0,135.0,225.0,-0.7884,-0.25,0.98,1.33,7.0,7.0,-0.9682,-0.5273,0.0477,-0.6231,-0.0424,0.039,-0.5165,0.3993,1.0346,0.7551,0.8329,0.5665,0.1298,0.1919,0.3787,-0.2888,0.6912,0.6012,0.4667,0.7871,0.6291,0.4637,0.7872,0.5761,-0.7284,0.1316,0.2865,-0.0081,0.0168,0.9289,0.9591,0.6642,0.0348,0.2907,0.0899,0.177,0.6309,1.0081,0.6124,1.4683,0.5149,0.1844,0.3097,10.0,1,603.8489000000001,577.9831,549.1355,576.9891666666667,0,0
70200673.0,0.0,15.75,ISCED level 3,8.0,52.4,Native,Did not repeat a  grade,210.0,245.0,245.0,-1.2301,0.1,0.21,0.42,8.0,5.0,-1.0947,-0.0664,-0.5492,-0.6231,-0.0424,-0.2023,-0.2546,0.5121,0.6364,0.7904,0.5437,0.1744,0.0127,0.1222,0.409,-1.272,-0.043,1.3256,-1.1507,0.7871,0.5693,-0.687,0.7872,0.1123,-0.42,-0.3784,-0.3491,0.4706,-0.2463,-0.7588,0.467,1.3015,-0.3184,-0.7823,0.658,0.4206,0.1002,0.8626,0.6124,0.411,0.5149,-0.6098,0.5039,5.0,0,523.4010000000001,556.5085,512.948,530.9525,0,0
