CNTSTUID,EFFORT1,EFFORT2,GRADE,AGE,ISCEDO,PARED,HISEI,MMINS,LMINS,SMINS,TMINS,ESCS,UNDREM,METASUM,METASPAM,ICTHOME,ICTSCH,HOMEPOS,CULTPOSS,HEDRES,WEALTH,ICTRES,DISCLIMA,TEACHSUP,DIRINS,PERFEED,EMOSUPS,STIMREAD,ADAPTIVITY,TEACHINT,JOYREAD,SCREADCOMP,SCREADDIFF,PISADIFF,PERCOMP,PERCOOP,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,EUDMO,SWBP,RESILIENCE,MASTGOAL,BELONG,BEINGBULLIED,ENTUSE,HOMESCH,USESCH,INTICT,COMPICT,AUTICT,SOIAICT,ICTCLASS,ICTOUTSIDE,WVARSTRR,GENDER,MATH,SCIENCE,READ,TOTALSCORE,"Is_MISCED_5A,6","Is_FISCED_5A,6"
39202901.0,6.0,7.0,0.0,15.67,General,12.0,26.8,200.0,200.0,200.0,1050.0,-1.0512,0.45,-1.72,-0.5,6.0,6.0,-0.6424,-0.2665,-1.0527,-0.5963,-0.7874,0.2108,1.314,0.4861,-0.0713,1.0346,-0.0686,-1.0504,0.0342,-2.7114,-2.4403,2.7752,0.2705,0.6912,0.6012,1.0844,-0.4112,-0.1015,0.4637,1.7411,0.6502,-0.8109,-0.6331,0.6818,-0.7823,0.0368,-0.932,-0.4392,0.3499,-1.0481,1.1291,-2.1763,-0.5374,0.2858,6.0,1,303.3736,370.6016,369.0703,347.6818333333333,0,0
39204338.0,2.0,9.0,0.0,16.08,General,16.0,43.33,250.0,200.0,200.0,1500.0,-0.1439,0.8,0.59,-0.04,9.0,2.0,-0.758,-1.3687,-1.0527,-0.5638,-0.5294,-0.3816,0.4394,0.2329,-0.1625,0.6402,-0.1282,0.1915,-0.6734,-1.1285,-1.0985,2.7752,0.2705,-0.6142,-0.5107,1.0844,0.1956,-1.034,1.8905,-0.9827,1.2386,-1.075,0.7181,-0.0924,0.7703,0.1021,-0.1103,-1.7161,-0.4734,-1.2885,-0.3623,-0.6261,-1.2188,-1.3048,5.0,0,523.6057,526.1759,498.9338,516.2384666666666,1,1
39201839.0,10.0,9.0,0.0,15.33,General,16.0,70.5,200.0,200.0,200.0,1500.0,0.0123,-1.64,-1.72,-1.41,5.0,2.0,-1.6123,-1.8511,-1.3835,-0.8024,-1.4409,-0.0424,0.481,1.8202,-1.6391,1.0346,-2.3003,-2.2652,-2.2177,-1.3532,-2.4403,2.7752,3.0064,-1.9892,1.6762,-0.6583,0.3045,-2.7365,-1.8939,1.7411,-0.5928,-0.7108,0.5761,-0.1769,-0.7823,0.0964,-2.2971,-1.7161,-2.9336,-2.6033,-2.5144,-2.1763,-0.6098,-1.3048,79.0,0,382.1268,343.28459999999995,235.2049,320.2054333333333,1,1
39201178.0,9.0,10.0,0.0,15.83,General,16.0,68.7,270.0,225.0,270.0,1575.0,0.1926,0.45,-1.72,0.42,7.0,7.0,-1.1051,-1.3687,-0.6853,-0.9896,-1.4409,-0.0424,-0.2023,0.0351,-0.8111,0.2169,-0.3268,-1.4537,-1.0615,-1.352,-1.0985,0.5371,0.7323,0.6912,0.6012,-0.6583,0.7871,0.6291,1.1422,1.243,1.2386,0.4152,-0.4347,-0.7587,0.7703,-1.0215,-2.2152,-1.7161,-0.6385,-1.9209,-1.557,-0.3389,-0.2254,-1.3048,80.0,1,532.2692000000001,512.4218000000001,495.9465,513.5458333333335,1,1
39205806.0,7.0,10.0,0.0,15.33,General,16.0,51.56,300.0,150.0,150.0,1700.0,-0.1717,-0.6,0.59,-0.5,6.0,0.0,-1.1896,-1.3687,-1.0118,-1.1412,-0.7874,0.7843,0.7628,1.6435,0.299,-0.6576,1.1884,0.8329,0.7222,0.8683,-1.0985,-0.0697,0.2705,-0.6142,-1.807,1.0844,-0.4631,-1.1187,-0.687,-0.3121,-1.3959,-2.4958,-0.6331,-0.2994,-0.7823,-0.7529,-2.2971,-1.7161,-0.8261,-1.9467,-0.776,-0.5871,-1.2188,-1.3048,1.0,0,558.4822,589.4811000000002,522.3488,556.7707000000001,1,1
39203452.0,6.0,10.0,0.0,15.33,General,14.0,79.49,350.0,350.0,150.0,1850.0,0.2155,0.8,1.36,1.33,6.0,6.0,-0.9686,-0.2665,1.1793,-1.8932,-1.6236,2.0345,1.314,1.8202,2.0165,-0.6576,2.0871,1.1813,1.2662,0.9011,-0.4089,-0.0362,1.2958,-0.6142,1.6762,1.0844,-0.9792,0.0273,-0.0288,-1.7389,1.2386,1.1497,-0.7346,2.7249,-0.7823,-0.9618,-0.5577,-0.2875,-0.9047,-1.7634,0.5835,-2.1763,-1.2188,-1.3048,45.0,1,651.7401,608.5627999999999,662.0298,640.7775666666666,0,0
39205521.0,7.0,9.0,0.0,15.67,General,16.0,60.29,325.0,195.0,195.0,1690.0,0.6144,0.45,0.98,1.33,10.0,5.0,0.2702,0.2036,-0.1357,-0.1189,-0.1766,0.4922,-0.7769,-0.4616,0.3993,0.2127,-0.0716,0.1915,-0.6414,2.6131,0.1222,-0.0697,-1.272,-0.043,-0.9391,1.0844,0.1956,-0.7233,1.8905,-2.1464,-0.5928,-0.8386,-0.094,-1.0703,0.8615,-0.64,-1.2325,-0.8303,0.5205,-1.343,2.0258,-1.4287,-0.2257,-1.3048,72.0,1,678.9129,689.1013,723.0799,697.0313666666667,0,1
39202828.0,8.0,9.0,0.0,16.0,General,16.0,81.13,300.0,200.0,200.0,1900.0,0.7038,0.45,-0.18,1.33,8.0,3.0,-0.4568,-1.3687,-0.1357,-0.2347,-0.0513,2.0345,0.4394,-1.0988,-1.6391,0.6402,-2.3003,-0.474,-0.8262,-0.5753,-0.4419,-0.0697,-1.272,-1.36,0.6012,1.0844,-0.8705,-0.1015,1.8905,0.2621,0.1038,-1.4714,-0.6331,0.9782,-0.7823,-0.7799,-1.6148,-1.7161,1.4409,-0.701,0.0631,-1.4287,-1.2188,-1.3048,38.0,0,579.5937000000001,574.2592,566.0469,573.2999333333333,0,1
39201927.0,10.0,10.0,0.0,16.08,General,16.0,26.64,200.0,200.0,300.0,2100.0,-0.4696,0.1,-0.57,-0.96,7.0,1.0,-0.7764,-1.8772,-1.3001,0.0874,-0.2834,-0.5864,-0.5575,-0.3007,-0.3253,-0.6439,2.0871,0.836,-0.8967,-2.7114,-2.4403,-1.0064,3.0064,-1.9892,0.9747,-0.6583,-0.9792,-0.8319,-0.4342,-0.6723,-1.3959,-1.2799,-0.3152,-0.3138,0.7703,-0.2166,-2.2776,-1.7161,0.2453,-0.7472,-0.9334,-0.1982,-1.2188,-0.8181,56.0,0,481.1071,429.02199999999993,335.9491,415.3594,1,1
39201030.0,10.0,9.0,0.0,15.42,General,14.0,51.56,250.0,200.0,165.0,1600.0,-0.078,0.45,0.21,0.42,8.0,4.0,-0.3923,-0.5278,-0.6853,-0.43635,-0.5294,0.871,-0.1811,-0.0424,-0.3253,-0.6576,0.1526,-0.1687,-0.3449,0.2179,-0.7391,0.5371,0.2705,-0.6142,0.6012,0.4626,-0.2661,-0.1015,0.4637,-0.6723,-0.3236,-0.8109,-0.4347,-0.2194,-0.7823,-0.29679999999999995,-1.0423,-1.7161,-0.3735,-0.9457,-0.2683,-0.5464,-1.2188,-1.3048,17.0,1,563.8103,551.7356,576.0369,563.8609333333333,0,1
39200576.0,10.0,10.0,0.0,15.5,General,12.0,24.53,250.0,200.0,165.0,1600.0,-0.8732,0.1,1.36,1.33,3.0,5.0,-0.1197,0.5048,-0.9386,-0.526,-1.4409,2.0345,0.1597,-0.3275,2.0165,1.0346,0.5102,0.5464,1.8245,0.5935,-0.4089,0.5371,-1.272,0.202,-0.2814,-0.6583,-0.2661,1.8164,1.8905,-0.569,-1.1176,-0.0267,-0.4347,-0.3184,-0.7823,-0.2452,-2.2971,-1.6889,0.1289,-0.3734,0.499,2.276,-0.0605,-1.3048,79.0,0,531.5323999999999,579.2185,518.6850000000001,543.1453,0,0
39206351.0,7.0,9.0,0.0,15.75,General,12.0,51.56,150.0,150.0,100.0,1250.0,-0.5797,0.1,-1.34,-0.96,11.0,10.0,-0.7667,-1.8511,-1.956,0.5944,-0.3837,-1.0963,-1.1481,-0.0424,-1.6391,-0.67,0.1526,-0.4771,-2.2177,-1.7421,-2.4403,-1.8876,-1.272,0.552,-2.1428,0.4626,-0.9792,1.8164,-0.687,-1.036,0.1869,-1.4832,-0.4347,-0.8633,-0.7823,-3.594,-1.245,-1.7161,-2.9336,-1.8592,2.0258,2.3635,-1.2188,-1.3048,40.0,0,404.1301,396.8318,293.19,364.7173,0,0
