CNTSTUID,GRADE,AGE,ISCEDL,PAREDINT,HISEI,IMMIG,REPEAT,ESCS,UNDREM,METASUM,METASPAM,HOMEPOS,CULTPOSS,HEDRES,DISCLIMA,TEACHSUP,DIRINS,PERFEED,EMOSUPS,STIMREAD,ADAPTIVITY,TEACHINT,JOYREAD,SCREADCOMP,SCREADDIFF,PISADIFF,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,EUDMO,SWBP,RESILIENCE,MASTGOAL,GCSELFEFF,GCAWARE,ATTIMM,INTCULT,PERSPECT,COGFLEX,RESPECT,AWACOM,GLOBMIND,DISCRIM,BELONG,WVARSTRR,GENDER,MATH,SCIENCE,READ,TOTALSCORE,Is_MISCED_5B,Is_FISCED_5B,Is_HISCED_5B
60805969.0,-1.0,16.08,ISCED level 2,12.0,50.15,Native,Did not repeat a  grade,-1.1735,1.5,-0.18,-0.5,-1.9826,-0.5025,-1.0527,-0.9992,0.7628,-0.0706,-0.3253,1.0346,0.6429,-0.5786,0.636,-0.5603,0.1222,1.2421,1.0558,0.4626,-2.345,-1.6572,-0.9598,0.9269,-0.0214,1.1497,1.8524,-0.0416,-0.0549,1.4992,1.6052,1.1388,0.6384,0.9289,-0.5122,1.4053,0.5881,0.5251,20.0,0,378.2655,370.0307,346.0701,364.78876666666673,0,0,0
60800259.0,0.0,15.42,ISCED level 2,16.0,23.8,Native,Did not repeat a  grade,-1.2178,-0.25,-0.57,-0.5,-2.4164,0.246,-1.956,-0.3295,1.314,1.8202,2.0165,-2.4468,0.7869,0.4599,0.1744,1.3051,0.6632,0.5082,0.2705,1.0844,1.2643,0.5693,-1.059,1.7411,0.1038,-0.096,1.8524,0.1904,0.3864,-0.2014,0.8888,0.1686,-0.3889,-0.4401,0.7693,-0.2347,-1.1549,1.4685,23.0,1,386.0463,374.9353,368.9531,376.6449,0,0,0
60806537.0,1.0,16.0,ISCED level 2,12.0,32.2,Native,Did not repeat a  grade,-2.1038,1.5,0.21,-1.41,-3.3729,-0.5025,-2.1464,-0.0424,-0.3472,-0.0424,-1.1311,-1.9687,-1.3058,-1.4537,-0.8687,0.0978,0.1222,-1.1635,1.6524,1.0844,2.0054,1.8164,0.4637,1.7411,1.2386,1.217,1.1969,0.1904,2.3015,1.4992,1.6052,1.9097,2.1449,0.9289,-1.7843,0.291,0.2471,-0.0435,58.0,1,325.10329999999993,381.5512,375.6399,360.7647999999999,0,0,0
60805485.0,0.0,16.0,ISCED level 2,6.0,17.0,Native,Did not repeat a  grade,-2.5997,-0.6,-1.72,-0.5,-1.5874,0.8337,-0.5492,-0.5977,1.314,1.8202,2.0165,1.0346,1.5391,2.0073,-1.1552,-0.4114,-2.4403,-1.8876,-0.7816,1.0844,-2.345,-2.7365,-1.8939,-2.1464,1.2386,-0.0614,1.8524,-0.5873,-0.9288,-2.264,1.6052,1.9097,2.1449,0.9289,-2.2243,-2.8778,3.1825,-0.9955,77.0,1,290.65400000000005,269.6593,286.6228,282.3120333333334,0,0,0
60803304.0,0.0,15.5,ISCED level 2,16.0,16.38,Native,Did not repeat a  grade,-0.9061,-1.64,-0.57,-1.41,-1.3459,0.6491,-0.5492,-1.6644,1.314,0.4854,-1.6391,-1.9687,-1.6631,-1.4494,-1.7928,-0.1058,-1.3543,-1.126,-0.5536,0.0042,-1.5513,-1.7067,-1.1597,-1.7389,0.5012,-1.497,0.0337,-1.0184,-2.0042,-1.5727,1.1479,0.6314,1.3823,0.4165,-1.6862,-1.8081,2.2321,-0.4061,65.0,0,242.8789,256.278,264.76290000000006,254.63993333333335,1,0,0
60801718.0,1.0,15.5,ISCED level 2,12.0,28.48,Native,Did not repeat a  grade,-1.6112,1.5,-0.57,-0.5,-2.0413,-1.0219,-1.935,-0.0424,0.4394,0.3737,0.0728,1.0346,0.0205,-0.5786,0.3684,0.4779,0.8214,0.9065,0.9672,1.0844,2.0054,-0.1015,0.3335,1.7411,1.2386,0.7872,1.8524,0.1904,0.4989,-2.264,1.6052,1.1388,0.0168,0.9289,1.2313,-0.1736,0.2143,-0.0633,39.0,1,347.7872,334.62780000000004,358.7353,347.0501,0,0,0
60801618.0,1.0,15.75,ISCED level 2,16.0,17.69,Native,Did not repeat a  grade,-1.2639,0.45,0.21,-0.5,-2.2502,-0.9765,-1.0527,-1.3833,0.2148,1.8202,-0.3253,-0.6576,-0.3335,0.4546,0.1744,-0.0555,-1.0985,2.101,1.6524,-1.6139,-0.733,-0.1015,-0.3799,0.2621,0.1869,0.0018,-0.4347,0.2933,0.3448,-0.6389,-0.3856,-0.1916,-0.796,-0.3625,0.5494,0.0713,0.9385,-0.763,10.0,1,421.32970000000006,415.8596,403.1643,413.4512,0,0,0
60802167.0,-1.0,15.42,ISCED level 2,16.0,17.0,Native,Did not repeat a  grade,-1.8,-0.6,0.98,-0.04,-3.486,-0.4076,-1.0527,-0.4511,-0.7659,-0.2551,0.9044,-0.6576,0.2783,0.5437,0.6134,0.6558,-0.849,1.5959,0.7192,-0.6583,-0.9792,-0.7233,-0.3799,-0.3121,0.7301,-0.5536,-0.094,-0.42,-0.031,-0.8565,0.4289,-0.2098,0.169,-0.521,-0.7176,-0.3803,1.0428,-0.7782,7.0,1,270.1612,322.8022,293.8677,295.61036666666666,0,0,0
60800892.0,1.0,15.33,ISCED level 2,12.0,17.0,Native,Did not repeat a  grade,-1.3784,-1.29,-1.72,-1.41,-0.9745,-0.4839,0.031,-0.0424,0.3995,1.0067,-0.0363,1.0346,-0.0073,-0.5786,-0.2934,0.1768,0.1222,0.8812,2.21,1.0844,0.6314,-0.1015,0.8207,0.8126,-0.3236,0.7396,1.8524,0.9128,-0.6993,0.2289,1.1479,0.1686,-0.5206,-0.4401,0.8659,-0.4362,0.3228,-0.0299,11.0,1,376.4854,319.8389000000001,310.3781,335.5674666666667,0,0,0
60800894.0,1.0,15.83,ISCED level 2,12.0,73.91,Native,Did not repeat a  grade,-0.4788,1.15,-1.72,-0.96,-1.411,0.246,-1.0527,-0.0424,0.7015,0.6525,-0.3253,0.6364,2.0871,0.1941,0.6134,0.5625,-0.4419,0.409,1.2958,-1.8264,0.1956,1.8164,-0.2006,1.7411,1.2386,1.0994,1.8524,0.3683,1.006,0.9616,-0.1818,1.3485,0.9817,0.4561,0.9045,0.986,-0.6615,0.7274,61.0,1,422.8083,396.8248,393.8706,404.5012333333332,0,0,0
