CNTSTUID,SCHLTYPE,STRATIO,SCHSIZE,RATCMP1,RATCMP2,TOTAT,PROATCE,PROAT5AB,PROAT5AM,PROAT6,CLSIZE,CREACTIV,EDUSHORT,STAFFSHORT,STUBEHA,TEACHBEHA,SCMCEG
76408654,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76408757,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76409027,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76400430,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76400574,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76400655,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76400766,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76400913,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76400966,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76401099,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76401145,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76401477,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76401558,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76401594,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76402142,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76402168,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76402573,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76402644,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76402719,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76402832,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76402926,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76403145,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76403343,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76403388,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76403455,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76403689,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76403714,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76404173,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76404582,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76404712,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76404995,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76405105,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76405161,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76405215,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76405353,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76405457,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76405504,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76405556,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76405569,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76405625,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76405738,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76405747,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76407588,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76407902,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76409036,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76400353,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76400705,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76400858,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76401815,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76401848,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76401909,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76401912,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76402557,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76402729,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76402803,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76402865,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76402970,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76404115,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76404507,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76404549,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76405289,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76405483,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76405611,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76406409,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76407339,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76407486,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76407981,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76408053,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76408143,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76408169,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76408487,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76408653,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76408676,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76408685,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76409015,3,999,99999999,999,1,82,1,0.7805,0.2195,0,38,2,-1.4212,-1.4551,-1.1797,-2.0409,0.3009
76400082,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76400379,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76400556,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76401861,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76402037,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76402260,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76402866,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76403254,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76403263,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76403364,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76403639,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76403655,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76403734,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76403807,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76403987,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76404237,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76404343,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76404760,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76405290,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76405301,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76405486,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76405614,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76405847,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76406044,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76406617,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76406680,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76406728,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76406819,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
